00523QATAR AIRLANES      QATAR               SOUTH               0125T
07452SINGAPORE AIRLANES  SINGAPORE           NORTH               0200D
01236EMIRATES            EMIRATES            WEST                0132T
05201ALL NIPPON AIRWAYS  TOKYO               SOUTH               0220T
06321QANTAS AIRWAYS      BUDAPEST            NORTH               0098D
01111JAPAN AIRLINES      LONDON              EAST                0125D
07899TURKISH AIRLINES    ANKARA              MADRID              0100D
02325AIR FRANCE          PARIS               BERLIN              0111T
02245KOREAN AIR          SEUL                TOKYO               0105T
07845SWISS INT AIRLINES  BERNA               STOCKHOLM           0187D
