
SALESMAN ID   MONTH SALES       COMMISSION   TOTAL COMM.SALES   AVG. SALES BY DAY
===========   ===============   ==========   ================   =================
1001             $139,423,917   0,05          $6,971,195           $5,809,329
1002             $135,498,702   0,05          $6,774,935           $5,645,779
1003             $131,311,715   0,03          $3,939,351           $5,471,321
1004             $114,540,654   0,04          $4,581,626           $4,772,527
1005             $133,149,687   0,08         $10,651,974           $5,547,903
1006             $119,479,208   0,07          $8,363,544           $4,978,300
1007             $133,984,289   0,06          $8,039,057           $5,582,678
1008             $120,838,100   0,09         $10,875,429           $5,034,920
1009             $112,345,368   0,03          $3,370,361           $4,681,057
1010             $120,136,338   0,04          $4,805,453           $5,005,680
1011             $139,091,905   0,05          $6,954,595           $5,795,496
1012             $118,183,549   0,07          $8,272,848           $4,924,314
1013             $104,295,697   0,02          $2,085,913           $4,345,654
1014             $126,918,050   0,01          $1,269,180           $5,288,252
1015             $141,454,675   0,05          $7,072,733           $5,893,944
1016             $138,938,500   0,05          $6,946,925           $5,789,104
1017             $119,841,485   0,05          $5,992,074           $4,993,395
1018             $126,867,597   0,08         $10,149,407           $5,286,149
1019             $131,237,308   0,09         $11,811,357           $5,468,221
1020             $147,458,751   0,01          $1,474,587           $6,144,114
