0809002345Papeleria el estudiante                 0012550000
0908563213Carnes de Colombia                      0032565550
0708523694Distribuidora Corabastos Ltda.          0055890230
1089365223Antonio Patino y Asociados              0023589680
1098211345Maria Rita Duran e Hijos                0035896400
0775234401Granero el molino                       0005000500
0708522365Avicola el caney                        0010235689
0709880050Hermanos Pollos                         0040230000
1099200551Bavaria S.A.                            0100500500
1080522365Polar S.A.                              0080253654
